Viewed	Search type	Result type
(24475, 7)	None	None	None
(37517, 13)	None	None	None
(40378, 6)	None	None	None
(41467, 3)	None	None	None
(27042, 9)	None	None	None
(46569, 9)	None	None	None
(44327, 16)	None	None	None
(46733, 39)	None	None	None
(26457, 24)	None	None	None
(12188, 47)	None	None	None
(197, 14)	Viewed	Workspace	Results
(43666, 12)	None	None	None
(41185, 8)	None	None	None
(27273, 14)	None	None	None
(43930, 12)	None	None	None
(45986, 21)	None	None	None
(39994, 3)	None	None	None
(22001, 12)	None	None	None
(11109, 75)	None	None	None
(38994, 26)	None	None	None
(40806, 12)	None	None	None
(7741, 53)	None	None	None
(42931, 23)	None	None	None
(46134, 11)	None	None	None
(45392, 6)	None	None	None
(2457, 15)	None	None	None
(21095, 27)	None	None	None
(46857, 42)	None	None	None
(7799, 69)	None	None	None
(42203, 4)	None	None	None
(10767, 51)	None	None	None
(33603, 14)	None	None	None
(18516, 14)	None	None	None
(45867, 43)	None	None	None
(10769, 76)	None	None	None
(7741, 32)	None	None	None
(21750, 14)	None	None	None
(7741, 27)	None	None	None
(37935, 15)	None	None	None
(19509, 9)	None	None	None
(27014, 16)	None	None	None
(42741, 11)	None	None	None
(26852, 11)	None	None	None
(39436, 63)	None	None	None
(42889, 9)	None	None	None
(47111, 11)	None	None	None
(42596, 14)	None	None	None
(44817, 50)	None	None	None
(41671, 7)	None	None	None
(18742, 12)	None	None	None
(22244, 21)	None	None	None
(30060, 6)	None	None	None
(41907, 14)	None	None	None
(34692, 56)	None	None	None
(22367, 65)	None	None	None
(47608, 19)	None	None	None
(10040, 5)	Viewed	Keyword	Results
(43800, 10)	None	None	None
(48082, 4)	None	None	None
(33017, 14)	None	None	None
(39152, 12)	None	None	None
(28660, 10)	None	None	None
(37860, 3)	None	None	None
(19841, 9)	None	None	None
(2910, 15)	None	None	None
(36374, 5)	None	None	None
(42094, 7)	None	None	None
(30918, 30)	None	None	None
(20610, 11)	None	None	None
(7274, 4)	None	None	None
(15509, 11)	None	None	None
(11178, 4)	None	None	None
(43746, 7)	None	None	None
(38053, 5)	None	None	None
(33434, 7)	None	None	None
(30897, 4)	None	None	None
(27706, 8)	None	None	None
(25493, 42)	None	None	None
(42074, 27)	None	None	None
(338, 25)	None	None	None
(17005, 7)	None	None	None
